City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Cape Town,ZA,2021-11-20 12:25:59,-33.9258,18.4232,82.11,51,20,24.16
92,Waterloo,CA,2021-11-20 12:27:45,43.4668,-80.5164,34.48,85,75,5.01
93,Faya,SA,2021-11-20 12:27:45,18.3851,42.4509,68.11,48,1,11.45
94,Christchurch,NZ,2021-11-20 12:24:20,-43.5333,172.6333,57.9,66,85,2.3
95,Mahebourg,MU,2021-11-20 12:23:43,-20.4081,57.7,82.69,57,20,13.8
96,Akyab,MM,2021-11-20 12:27:46,20.15,92.9,81.46,65,46,10.47
97,Ambilobe,MG,2021-11-20 12:27:46,-13.2,49.05,85.37,54,67,5.91
98,Chapais,CA,2021-11-20 12:27:46,49.7834,-74.8492,19.18,91,100,5.79
99,Okha,RU,2021-11-20 12:27:46,53.5739,142.9478,29.39,86,95,12.48
100,Mehamn,NO,2021-11-20 12:27:47,71.0357,27.8492,30.85,87,100,19.22
101,Qaanaaq,GL,2021-11-20 12:23:42,77.484,-69.3632,-4.49,72,42,7.96
102,Ribeira Grande,PT,2021-11-20 12:23:39,38.5167,-28.7,63.0,94,75,26.46
103,Jalu,LY,2021-11-20 12:27:47,29.0331,21.5482,73.0,43,9,18.45
104,Mbandaka,CD,2021-11-20 12:27:47,0.0487,18.2603,86.13,54,96,2.33
105,Lufilufi,WS,2021-11-20 12:27:48,-13.8745,-171.5986,74.98,81,22,17.4
106,Bonthe,SL,2021-11-20 12:27:48,7.5264,-12.505,89.29,60,12,4.72
107,Mataura,NZ,2021-11-20 12:24:54,-46.1927,168.8643,51.26,99,100,2.35
108,Vostok,RU,2021-11-20 12:27:48,46.4856,135.8833,15.98,97,100,1.34
109,Fara In Sabina,IT,2021-11-20 12:27:48,42.2089,12.7292,65.28,63,8,2.13
110,Greeneville,US,2021-11-20 12:27:49,36.1632,-82.831,35.62,69,1,0.0
111,Beringovskiy,RU,2021-11-20 12:27:49,63.05,179.3167,2.07,96,67,11.27
112,Xining,CN,2021-11-20 12:27:49,36.6167,101.7667,27.97,55,43,5.99
113,Tezu,IN,2021-11-20 12:27:50,27.9167,96.1667,65.95,48,3,4.05
114,Chokurdakh,RU,2021-11-20 12:23:36,70.6333,147.9167,-3.6,99,100,3.33
115,Adre,TD,2021-11-20 12:27:50,13.4667,22.2,90.91,12,1,10.31
116,Dubrovnik,HR,2021-11-20 12:26:34,42.6481,18.0922,67.62,52,0,6.91
117,Bauchi,NG,2021-11-20 12:27:50,10.5,10.0,95.65,13,40,9.82
118,Grants,US,2021-11-20 12:27:51,35.1473,-107.8514,21.43,58,1,4.0
119,Baker City,US,2021-11-20 12:27:51,44.7749,-117.8344,35.92,94,1,0.0
120,Khatanga,RU,2021-11-20 12:23:43,71.9667,102.5,-25.58,96,94,4.9
121,Ponta Do Sol,PT,2021-11-20 12:23:44,32.6667,-17.1,72.72,66,43,2.73
122,Shahr-E Kord,IR,2021-11-20 12:27:51,32.3256,50.8644,53.37,32,40,11.5
