City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Parrita,CR,9.5201,-84.3225,92.97,76,33,5.3,scattered clouds
111,Codrington,AU,-38.2667,141.9667,46.0,95,7,5.7,clear sky
112,Soc Trang,VN,9.6033,105.98,78.76,89,79,9.86,broken clouds
113,Kruisfontein,ZA,-34.0033,24.7314,67.89,84,100,10.42,overcast clouds
114,Ekhabi,RU,53.5102,142.9671,24.58,85,90,12.12,overcast clouds
115,Sorata,BO,-15.7667,-68.6333,53.22,79,100,9.33,overcast clouds
116,Lavrentiya,RU,65.5833,-171.0,0.12,89,6,8.99,clear sky
117,Platteville,US,42.7342,-90.4785,48.58,56,1,27.63,clear sky
118,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,13.8,few clouds
119,Lata,PT,40.1629,-8.3327,55.81,93,17,1.05,few clouds
120,Gravdal,NO,68.1214,13.5031,28.08,58,100,8.39,overcast clouds
121,Wilmington Island,US,32.0036,-80.9737,73.49,65,1,8.05,clear sky
122,Ambon,ID,-3.6954,128.1814,81.52,77,100,4.85,moderate rain
123,Dongsheng,CN,39.8161,109.9776,10.87,22,0,14.0,clear sky
124,Alofi,NU,-19.0595,-169.9187,80.49,78,75,11.5,broken clouds
125,Kirakira,SB,-10.4544,161.9205,81.81,78,22,6.24,few clouds
126,Ghanzi,BW,-21.5667,21.7833,80.02,44,100,16.37,overcast clouds
127,Guhagar,IN,17.4842,73.1929,74.97,91,100,4.45,overcast clouds
128,Antofagasta,CL,-23.65,-70.4,71.22,58,21,10.71,few clouds
129,Atherton,GB,53.5237,-2.4935,41.7,78,7,1.01,clear sky
130,Lagos,NG,6.5833,3.75,82.72,90,36,4.27,light rain
131,San Patricio,US,28.017,-97.5169,86.41,51,47,10.78,scattered clouds
132,Yar-Sale,RU,66.8333,70.8333,15.17,95,100,14.72,light snow
133,Altay,CN,47.8667,88.1167,17.65,50,25,8.16,scattered clouds
134,Rasskazovo,RU,52.6714,41.9033,32.36,100,100,6.96,snow
135,Yaan,NG,7.3833,8.5667,83.28,56,43,5.37,scattered clouds
136,Tchollire,CM,8.4022,14.1698,80.28,27,61,1.59,broken clouds
137,Springville,US,40.1652,-111.6107,49.96,63,1,5.75,clear sky
138,Mednogorskiy,RU,43.9178,41.1825,38.95,79,5,5.57,clear sky
139,Flin Flon,CA,54.7682,-101.865,10.24,67,90,10.36,overcast clouds
140,Nordfjordeid,NO,61.9063,5.9915,38.28,96,95,1.3,overcast clouds
141,Calvia,ES,39.5657,2.5062,58.91,77,65,9.24,broken clouds
142,Kokopo,PG,-4.352,152.2633,76.98,81,82,4.45,broken clouds
143,Huejuquilla El Alto,MX,22.6,-103.8667,74.41,27,6,3.2,clear sky
144,Beisfjord,NO,68.3751,17.5988,29.05,93,100,4.79,light snow
145,Santa Maria,BR,-29.6842,-53.8069,90.7,24,0,6.91,clear sky
146,Okato,NZ,-39.2,173.8833,62.42,91,100,6.71,overcast clouds
147,North Myrtle Beach,US,33.816,-78.68,73.45,64,75,3.0,broken clouds
148,Riyadh,SA,24.6877,46.7219,71.74,30,0,7.72,clear sky
149,Torbay,CA,47.6666,-52.7314,32.68,74,40,4.61,scattered clouds
150,Cidreira,BR,-30.1811,-50.2056,73.92,62,0,11.23,clear sky
151,Hasaki,JP,35.7333,140.8333,61.2,76,100,24.38,light rain
152,Ambunti,PG,-4.2365,142.8448,73.44,100,100,3.15,overcast clouds
153,Vanimo,PG,-2.6741,141.3028,77.27,89,99,3.06,overcast clouds
154,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,8.32,snow
155,Vicuna,CL,-30.0319,-70.7081,55.13,31,1,10.04,clear sky
156,Miyako,JP,39.6367,141.9525,50.14,81,100,8.12,overcast clouds
157,Mayo,US,38.8876,-76.5119,55.13,73,40,3.0,scattered clouds
158,Omboue,GA,-1.5746,9.2618,78.17,86,100,3.8,overcast clouds
159,Sawtell,AU,-30.3833,153.1,68.18,96,90,0.0,moderate rain
160,Naze,JP,28.3667,129.4833,69.94,85,100,12.12,overcast clouds
161,Gariaband,IN,20.635,82.0614,75.11,84,77,1.97,broken clouds
162,Kaohsiung,TW,22.6163,120.3133,74.03,86,40,1.99,scattered clouds
163,Ostrovnoy,RU,68.0531,39.5131,29.03,80,100,30.38,light snow
164,Whyalla,AU,-33.0333,137.5833,55.29,88,100,5.75,overcast clouds
165,Ambulu,ID,-8.345,113.6058,75.54,82,99,3.13,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,75,3.44,light rain
167,Calama,CL,-22.4667,-68.9333,77.49,7,75,23.02,broken clouds
168,Cabra,ES,37.4725,-4.4421,55.9,78,53,3.13,broken clouds
169,Bilibino,RU,68.0546,166.4372,-19.12,85,5,3.4,clear sky
170,Sebrovo,RU,50.0981,43.2976,44.82,85,100,19.17,overcast clouds
171,Kavaratti,IN,10.5669,72.642,81.09,73,8,8.95,clear sky
172,Coolum Beach,AU,-26.5333,153.1,74.1,86,100,5.82,moderate rain
173,Lebu,CL,-37.6167,-73.65,59.74,78,1,17.67,clear sky
174,Parabel,RU,58.6978,81.4825,14.59,91,99,9.17,overcast clouds
175,Shimoda,JP,34.6667,138.95,57.11,86,99,11.05,overcast clouds
176,Santa Cruz Del Norte,CU,23.1539,-81.9236,84.94,73,51,10.47,broken clouds
177,Tikhvin,RU,59.6451,33.5294,25.21,82,100,8.12,overcast clouds
178,Cayenne,GF,4.9333,-52.3333,82.44,85,0,3.0,clear sky
179,Port Lincoln,AU,-34.7333,135.8667,56.55,81,100,11.54,overcast clouds
180,Upernavik,GL,72.7868,-56.1549,7.5,79,61,7.05,broken clouds
181,Muros,ES,42.7762,-9.0603,56.23,81,0,14.0,clear sky
182,Divala,PA,8.4167,-82.7167,86.77,82,48,5.01,scattered clouds
183,Nuuk,GL,64.1835,-51.7216,29.01,93,75,3.44,broken clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,94,75,30.78,broken clouds
185,Alcains,PT,39.9164,-7.4566,52.36,83,83,1.83,broken clouds
186,Yerbogachen,RU,61.2767,108.0108,-16.19,100,91,3.71,overcast clouds
187,Tiksi,RU,71.6872,128.8694,-16.78,99,99,3.71,overcast clouds
188,Rockland,US,41.1668,-74.0496,54.32,53,60,1.01,broken clouds
189,Margate,GB,51.3813,1.3862,43.7,84,31,26.28,light rain
190,Waipawa,NZ,-41.4122,175.5153,63.45,66,66,7.76,broken clouds
191,Batangafo,CF,7.3008,18.2833,77.79,40,86,3.31,overcast clouds
192,Kolondieba,ML,11.0882,-6.8926,81.18,19,0,4.09,clear sky
193,Lasa,IT,46.6166,10.7002,43.68,80,100,0.54,overcast clouds
194,Coahuayana,MX,18.7333,-103.6833,94.48,46,2,6.38,clear sky
195,Srednekolymsk,RU,67.45,153.6833,-21.5,100,100,0.4,overcast clouds
196,Camargo,MX,27.6667,-105.1667,76.51,28,97,1.83,overcast clouds
197,Frutal,BR,-20.0247,-48.9406,82.87,59,23,8.84,few clouds
198,Aykhal,RU,66.0,111.5,-12.24,96,100,4.07,overcast clouds
199,Alihe,CN,50.5667,123.7167,11.89,80,100,5.68,overcast clouds
200,Norman Wells,CA,65.282,-126.8329,-14.76,76,75,2.3,broken clouds
201,Pisco,PE,-13.7,-76.2167,69.85,73,0,10.36,clear sky
202,Moose Factory,CA,51.2585,-80.6094,35.6,75,90,11.5,overcast clouds
203,Salalah,OM,17.0151,54.0924,75.29,60,0,5.75,clear sky
204,Svetlaya,RU,46.5389,138.3297,33.46,83,100,12.28,snow
205,Lagoa,PT,39.05,-27.9833,62.47,85,100,32.68,overcast clouds
206,Belaya Gora,RU,68.5333,146.4167,-17.32,100,100,1.36,overcast clouds
207,Ponta Delgada,PT,37.7333,-25.6667,61.52,82,40,9.22,scattered clouds
208,Pacific Grove,US,36.6177,-121.9166,75.31,50,1,1.99,clear sky
209,Cedar City,US,37.6775,-113.0619,45.39,41,1,4.61,clear sky
210,Rovnoye,RU,50.7765,46.0509,39.94,81,100,14.92,overcast clouds
211,Tilichiki,RU,60.4667,166.1,-2.04,97,21,11.01,few clouds
212,Faanui,PF,-16.4833,-151.75,79.5,67,23,11.34,few clouds
213,Rio Gallegos,AR,-51.6226,-69.2181,51.85,25,75,16.11,broken clouds
214,Timbiras,BR,-4.2553,-43.9406,90.43,48,39,3.76,scattered clouds
215,Peace River,CA,56.2501,-117.286,23.31,86,90,6.91,overcast clouds
216,Husavik,IS,66.0449,-17.3389,42.71,82,62,10.18,broken clouds
217,Longyearbyen,SJ,78.2186,15.6401,3.04,78,20,10.36,few clouds
218,Olhao,PT,37.0286,-7.8411,60.69,94,40,4.61,scattered clouds
219,Rosa Zarate,EC,0.3333,-79.4667,86.7,53,99,2.91,overcast clouds
220,Am Timan,TD,11.0297,20.2827,78.57,23,44,4.74,scattered clouds
221,Chapais,CA,49.7834,-74.8492,33.58,80,97,10.22,overcast clouds
222,Rudbar,AF,30.15,62.6,55.72,20,0,2.91,clear sky
223,Susehri,TR,40.1644,38.0867,42.87,68,4,2.04,clear sky
224,Corinto,GR,37.9407,22.9573,60.55,78,0,3.24,clear sky
225,Uni,RU,57.7535,51.4923,24.75,89,97,12.46,overcast clouds
226,Ahipara,NZ,-35.1667,173.1667,67.95,83,100,3.42,overcast clouds
227,Severo-Kurilsk,RU,50.6789,156.125,37.27,89,87,10.13,overcast clouds
228,Xichang,CN,27.8964,102.2634,41.05,93,100,5.82,overcast clouds
229,Kimbe,PG,-5.5502,150.1429,74.43,94,67,3.22,light rain
230,Cherskiy,RU,68.75,161.3,-29.69,100,63,4.83,broken clouds
231,Poddorye,RU,57.4695,31.1156,33.89,85,100,9.8,overcast clouds
232,Beloha,MG,-25.1667,45.05,68.68,65,46,12.3,scattered clouds
233,Bani Walid,LY,31.7566,13.9942,64.22,48,100,7.99,overcast clouds
234,Arica,CL,-18.475,-70.3042,74.75,68,75,12.66,broken clouds
235,Iqaluit,CA,63.7506,-68.5145,11.93,85,75,3.44,light snow
236,Angoche,MZ,-16.2325,39.9086,78.51,84,7,6.06,clear sky
237,Vanavara,RU,60.34,102.2797,2.53,96,100,5.23,overcast clouds
238,Funtua,NG,11.5233,7.3081,74.7,20,24,6.87,few clouds
239,Vagay,RU,57.9375,69.0217,22.39,94,100,10.38,snow
240,Nikolskoye,RU,59.7035,30.7861,30.09,75,18,10.51,few clouds
241,Dukat,RU,62.55,155.55,-20.0,100,100,3.69,overcast clouds
242,Saint-Augustin,CA,51.226,-58.6502,34.41,71,100,11.12,overcast clouds
243,Linfen,CN,36.0889,111.5189,32.54,16,0,10.67,clear sky
244,Port Elizabeth,ZA,-33.918,25.5701,70.11,88,90,12.66,overcast clouds
245,Charters Towers,AU,-20.1,146.2667,70.38,76,55,7.78,broken clouds
246,Jinchang,CN,38.4953,102.1739,25.68,40,0,1.79,clear sky
247,Morden,CA,49.1919,-98.1014,17.26,57,14,16.11,few clouds
248,Guerrero Negro,MX,27.9769,-114.0611,74.59,46,100,3.89,overcast clouds
249,Marabba,SD,12.35,32.1833,80.76,17,100,13.56,overcast clouds
250,Buala,SB,-8.145,159.5921,81.36,79,20,6.26,few clouds
251,Prince Rupert,CA,54.3161,-130.3201,46.09,88,90,13.8,moderate rain
252,Provideniya,RU,64.3833,-173.3,3.63,85,27,7.83,scattered clouds
253,Barbastro,ES,42.0356,0.1269,50.54,74,88,2.82,overcast clouds
254,Chokurdakh,RU,70.6333,147.9167,-15.54,100,94,0.38,overcast clouds
255,Bagrami,AF,34.4938,69.2743,43.47,25,0,3.29,clear sky
256,Severnoye,RU,56.3491,78.3619,16.21,91,100,10.56,overcast clouds
257,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,87,96,3.15,overcast clouds
258,Filingue,NE,14.3521,3.3168,88.43,13,2,6.11,clear sky
259,Clyde River,CA,70.4692,-68.5914,1.63,85,95,5.75,light snow
260,Avera,US,33.194,-82.5271,71.71,53,59,4.05,broken clouds
261,Saint-Francois,FR,46.4154,3.9054,39.47,95,90,4.61,overcast clouds
262,Oistins,BB,13.0667,-59.5333,82.49,69,20,13.8,few clouds
263,Purificacion,CO,3.8587,-74.9313,84.96,64,79,1.28,broken clouds
264,Independence,US,39.0911,-94.4155,58.44,36,1,1.01,clear sky
265,Samarinda,ID,-0.5,117.15,73.9,99,100,1.43,overcast clouds
266,Portland,US,45.5234,-122.6762,52.5,91,90,3.0,mist
267,Bam,IR,29.106,58.357,59.52,27,0,0.07,clear sky
268,Peoria,US,40.7667,-89.7668,57.72,50,75,17.27,broken clouds
269,Cootamundra,AU,-34.65,148.0333,53.87,75,27,16.06,scattered clouds
270,Beringovskiy,RU,63.05,179.3167,0.23,99,100,11.68,overcast clouds
271,Tabuk,PH,17.4189,121.4443,73.42,96,89,1.57,overcast clouds
272,Port Moresby,PG,-9.4431,147.1797,76.42,100,40,5.75,fog
273,Saint-Pierre,RE,-21.3393,55.4781,74.88,71,40,4.61,scattered clouds
274,Myre,NO,69.1036,15.9492,26.55,56,100,8.5,light snow
275,Saint George,US,37.1041,-113.5841,61.79,22,1,1.99,clear sky
276,Talnakh,RU,69.4865,88.3972,-21.08,84,2,8.93,clear sky
277,Balabac,PH,7.9868,117.0645,81.1,81,38,4.56,scattered clouds
278,Lyman,UA,48.9884,37.8023,45.66,74,72,17.96,broken clouds
279,Sainte-Thecle,CA,46.8168,-72.4991,35.64,98,100,5.66,overcast clouds
280,Honavar,IN,14.2833,74.45,75.49,93,31,4.52,scattered clouds
281,Caravelas,BR,-17.7125,-39.2481,72.1,91,99,12.15,overcast clouds
282,Auki,SB,-8.7676,160.7034,77.86,80,10,4.63,clear sky
283,Maceio,BR,-9.6658,-35.7353,83.64,69,0,8.05,clear sky
284,Khakhea,BW,-24.6895,23.494,70.63,70,51,18.59,broken clouds
285,Coquimbo,CL,-29.9533,-71.3436,62.33,77,40,12.66,scattered clouds
286,Auray,FR,47.6703,-2.9918,45.9,89,3,14.97,clear sky
287,Borsodnadasd,HU,48.1167,20.25,39.65,93,4,0.49,clear sky
288,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,97,40,11.5,volcanic ash
289,Jaciara,BR,-15.9653,-54.9683,83.97,73,99,3.71,very heavy rain
290,Sola,VU,-13.8833,167.55,81.1,74,94,8.55,light rain
291,Augusto Correa,BR,-1.0217,-46.635,83.48,71,92,7.16,overcast clouds
292,Palmer,US,42.1584,-72.3287,54.99,47,90,1.01,overcast clouds
293,Aykino,RU,62.2248,49.9922,19.24,98,100,2.19,light snow
294,Huancabamba,PE,-5.2386,-79.4506,64.08,78,100,2.37,light rain
295,Pokhara,NP,28.2333,83.9833,58.93,64,9,4.36,clear sky
296,Betare Oya,CM,5.6,14.0833,73.22,71,90,1.92,overcast clouds
297,Naron,ES,43.5167,-8.1528,54.03,87,9,9.55,light rain
298,Namibe,AO,-15.1961,12.1522,67.26,81,14,4.09,few clouds
299,Katobu,ID,-4.9408,122.5276,74.21,92,100,1.59,overcast clouds
300,Warwick,US,41.7001,-71.4162,56.12,71,75,9.22,broken clouds
301,Bereda,ES,43.2686,-7.5406,48.92,100,41,3.47,scattered clouds
302,Trapani,IT,37.8333,12.6667,60.98,94,20,9.22,few clouds
303,Tuatapere,NZ,-46.1333,167.6833,50.54,96,100,1.72,overcast clouds
304,Uspenskaya,RU,45.7645,41.067,39.09,78,22,11.92,few clouds
305,Todos Santos,MX,23.45,-110.2167,85.01,64,45,10.45,scattered clouds
306,Yekaterinovka,RU,52.0508,44.3451,33.94,93,100,12.82,light snow
307,Gazojak,TM,41.1875,61.4036,45.77,41,47,8.88,scattered clouds
308,Tevaitoa,PF,-16.7833,-151.5,79.34,67,6,11.23,clear sky
309,Ginir,ET,7.1333,40.7,57.65,62,45,6.29,scattered clouds
310,Tarabuco,BO,-19.1667,-64.9167,63.86,34,65,16.13,broken clouds
311,Nokha,IN,27.6,73.4167,69.75,18,0,6.64,clear sky
